KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,CHARLES ALBERT THYS,0.23%,CHARLES ALBERT THYS à 0.23%
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,JEAN CLAUDE MUKENGHESHAYI,0.15%,JEAN CLAUDE MUKENGHESHAYI à 0.15%
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,CHRISTIAN MUTOKE TSHIMBILA,0.10%,CHRISTIAN MUTOKE TSHIMBILA à 0.1%
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,ABRAHAM CHUMA BURHOLE,0.09%,ABRAHAM CHUMA BURHOLE à 0.09%
KGL-SOMITURI (Socitété Minière de l'ITURI) (*),KGL- SOMITURI,BENJAMIN MUYIMA NTUMBA,0.08%,BENJAMIN MUYIMA NTUMBA à 0.08%
SOCIETE LUGUSHWA MINING S.A.R.L (*),LUGUSHW A,LUGUSHWA Barbados Ltd,96.00%,Société cotée à la bourse de Toronto
SOCIETE LUGUSHWA MINING S.A.R.L (*),LUGUSHW A,Arnold Kondrat,1.00%,Arnold Kondrat à 1%
SOCIETE LUGUSHWA MINING S.A.R.L (*),LUGUSHW A,Donald Madilo,1.00%,Donald Madilo à 1%
SOCIETE LUGUSHWA MINING S.A.R.L (*),LUGUSHW A,Geoffrey Farr,1.00%,Geoffrey Farr à 1%
SOCIETE LUGUSHWA MINING S.A.R.L (*),LUGUSHW A,Lambert djunga,1.00%,Lambert djunga à 1%
SOCIETE KAMITUGA MINING S.A.R.L (*),KAMITUGA,Kamituga Barbados Ltd,96.00%,Société cotée à la bourse de Toronto
SOCIETE KAMITUGA MINING S.A.R.L (*),KAMITUGA,Arnold Kondrat,1.00%,Arnold Kondrat à 1%
SOCIETE KAMITUGA MINING S.A.R.L (*),KAMITUGA,Donald Madilo,1.00%,Donald Madilo à 1%
SOCIETE KAMITUGA MINING S.A.R.L (*),KAMITUGA,Geoffrey Farr,1.00%,Geoffrey Farr à 1%
SOCIETE KAMITUGA MINING S.A.R.L (*),KAMITUGA,Lambert djunga,1.00%,Lambert djunga à 1%
COMPAGNIE MINIERE SAKANIA (*),COMISA,ENRC CONGO BV,99.90%,N/C
COMPAGNIE MINIERE SAKANIA (*),COMISA,ENRC AFRICA BV,0.10%,N/A
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,ETAT CONGOLAIS,5.00%,N/A
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,GECAMINES,20.00%,N/A
